Price,Open,High,Low,Close,Volume,Return,Ticker
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,
Datetime,,,,,,,
2023-05-01 05:00:00+00:00,1992.5999755859375,1992.699951171875,1988.5,1990.5,3717,-0.001154179431838931,GC=F
2023-05-01 06:00:00+00:00,1990.5,1990.5,1987.699951171875,1988.300048828125,3110,-0.0011052254066189482,GC=F
2023-05-01 07:00:00+00:00,1988.4000244140625,1989.800048828125,1987.300048828125,1989.5,4686,0.000603506081781946,GC=F
2023-05-01 08:00:00+00:00,1989.300048828125,1989.9000244140625,1985.699951171875,1985.9000244140625,4031,-0.001809487602883908,GC=F
2023-05-01 09:00:00+00:00,1985.9000244140625,1993.699951171875,1985.699951171875,1993.199951171875,4789,0.0036758782758796738,GC=F
2023-05-01 10:00:00+00:00,1993.199951171875,1997.4000244140625,1993.0999755859375,1997.0999755859375,4789,0.0019566649155140503,GC=F
2023-05-01 11:00:00+00:00,1997.199951171875,1999.0999755859375,1995.699951171875,1998.0999755859375,5331,0.0005007260588978379,GC=F
2023-05-01 12:00:00+00:00,1998.0999755859375,2014.800048828125,1997.300048828125,2013.4000244140625,30432,0.007657298941529778,GC=F
2023-05-01 13:00:00+00:00,2013.4000244140625,2015.4000244140625,2006.0999755859375,2006.199951171875,17737,-0.0035760768624619743,GC=F
2023-05-01 14:00:00+00:00,2006.199951171875,2006.199951171875,1991.5,1993.0,33533,-0.0065795790515120745,GC=F
2023-05-01 15:00:00+00:00,1993.0,1993.800048828125,1989.0999755859375,1991.5999755859375,13197,-0.0007024708550238401,GC=F
2023-05-01 16:00:00+00:00,1991.5999755859375,1992.699951171875,1988.5,1990.199951171875,7643,-0.000702964667214645,GC=F
2023-05-01 17:00:00+00:00,1990.300048828125,1992.5999755859375,1988.5,1990.9000244140625,8184,0.00035176025493077745,GC=F
2023-05-01 18:00:00+00:00,1991.0,1991.9000244140625,1989.300048828125,1989.4000244140625,4042,-0.0007534280886060118,GC=F
2023-05-01 19:00:00+00:00,1989.4000244140625,1990.199951171875,1988.0,1988.300048828125,5136,-0.0005529182529599996,GC=F
2023-05-01 20:00:00+00:00,1988.5,1991.5,1988.300048828125,1991.300048828125,2813,0.0015088265987661664,GC=F
2023-05-01 22:00:00+00:00,1990.5,1992.0,1989.9000244140625,1991.300048828125,0,0.0,GC=F
2023-05-01 23:00:00+00:00,1991.300048828125,1991.5,1989.4000244140625,1990.0999755859375,1030,-0.0006026581694174027,GC=F
2023-05-02 00:00:00+00:00,1990.199951171875,1992.4000244140625,1990.0999755859375,1990.9000244140625,2565,0.0004020143902014883,GC=F
2023-05-02 01:00:00+00:00,1991.0,1994.0999755859375,1990.800048828125,1992.0,3903,0.0005525016688174844,GC=F
2023-05-02 02:00:00+00:00,1992.0999755859375,1992.0999755859375,1990.0,1991.5,2308,-0.00025100401606426015,GC=F
2023-05-02 03:00:00+00:00,1991.4000244140625,1991.4000244140625,1989.9000244140625,1990.5,2466,-0.0005021340697966004,GC=F
2023-05-02 04:00:00+00:00,1990.5,1991.300048828125,1989.699951171875,1990.5,2146,0.0,GC=F
2023-05-02 05:00:00+00:00,1990.5999755859375,1992.5999755859375,1989.699951171875,1991.199951171875,1652,0.0003516459039814013,GC=F
2023-05-02 06:00:00+00:00,1991.0999755859375,1994.300048828125,1990.699951171875,1993.199951171875,5003,0.0010044194701908093,GC=F
2023-05-02 07:00:00+00:00,1993.199951171875,1994.4000244140625,1988.800048828125,1989.800048828125,7576,-0.0017057507661241145,GC=F
2023-05-02 08:00:00+00:00,1989.800048828125,1990.9000244140625,1986.9000244140625,1990.0,8389,0.00010048807265472526,GC=F
2023-05-02 09:00:00+00:00,1989.9000244140625,1995.199951171875,1989.4000244140625,1992.9000244140625,5266,0.0014572987005339044,GC=F
2023-05-02 10:00:00+00:00,1992.800048828125,1997.4000244140625,1991.9000244140625,1997.0,5775,0.0020572911514429304,GC=F
2023-05-02 11:00:00+00:00,1997.0,1998.9000244140625,1994.5,1995.199951171875,8454,-0.0009013764787806355,GC=F
2023-05-02 12:00:00+00:00,1995.0999755859375,1996.800048828125,1993.800048828125,1994.4000244140625,6665,-0.0004009256101588088,GC=F
